"1","2","3","4","5","6","7","8","9"
"","Lat","Long","Timestamp","Ax","Ay","Az","A_avg","A_gforce"
"62","22.49472167","88.39130333","1.69E+12","-0.033","0.081","9.736951","3.261650333","0.992593662"
"63","22.49472167","88.39130333","1.69E+12","-0.033","0.081","9.736951","3.261650333","0.992593662"
"64","22.49472167","88.39130333","1.69E+12","0.12900001","-0.64305","9.77295","3.086300003","0.998464085"
"65","22.49472167","88.39130333","1.69E+12","0.12900001","-0.64305","9.77295","3.086300003","0.998464085"
"66","22.49472167","88.39130333","1.69E+12","0.13605","3.5670002","9.45195","4.385000067","1.029921712"
"67","22.49472167","88.39130333","1.69E+12","0.15795001","3.5740502","9.580951","4.437650403","1.042516995"
"68","22.49472167","88.39130333","1.69E+12","0.079050004","3.5430002","9.39","4.337350068","1.02308801"
"69","22.49472167","88.39130333","1.69E+12","0.120000005","3.4740002","9.10005","4.231350068","0.993002497"
"70","22.49472167","88.39130333","1.69E+12","0.37305","3.3660002","8.896951","4.2120004","0.970408672"
"71","22.49472167","88.39130333","1.69E+12","0.28695002","3.3610501","8.99205","4.21335004","0.978996483"
"72","22.49472167","88.39130333","1.69E+12","0.31095","3.3610501","9.198001","4.290000367","0.998754734"
"73","22.49472167","88.39130333","1.69E+12","0.29895002","3.3709502","9.50895","4.392950073","1.028869109"
"74","22.49472167","88.39130333","1.69E+12","0.36405003","3.426","9.835051","4.541700343","1.062288254"
"75","22.49472167","88.39130333","1.69E+12","0.46905002","3.3970501","9.670051","4.512050373","1.045882705"
"76","22.49472167","88.39130333","1.69E+12","0.13605","3.2029502","9.19305","4.177350067","0.992456006"
"77","22.49472167","88.39130333","1.69E+12","0.41700003","3.4309502","8.925","4.257650077","0.975620555"
"78","22.49472167","88.39130333","1.69E+12","0.21795002","3.282","8.908951","4.13630034","0.968069229"
"79","22.49472167","88.39130333","1.69E+12","0.37800002","3.285","8.98005","4.214350007","0.975484609"
"80","22.49472167","88.39130333","1.69E+12","0.40005","3.2940001","9.177","4.290350033","0.994747557"
"81","22.49472167","88.39130333","1.69E+12","0.73305005","3.48795","9.696","4.639000017","1.053040063"
"82","22.49472167","88.39130333","1.69E+12","0.75405","3.4740002","9.687","4.638350067","1.05185361"
"83","22.49472167","88.39130333","1.69E+12","0.42600003","3.6169503","9.5449505","4.529300277","1.041402453"
"84","22.49472167","88.39130333","1.69E+12","0.42600003","3.6169503","9.5449505","4.529300277","1.041402453"
